"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
Division 2;Série finale pour le titre;02/03/2024;20:30;Annecy - Jean Régis;82028 - Annecy Division 2 / 11009 - D2 Courbevoie;M GOLICIC Bostjan;M SALICIO Olivier;;;;M AUMERAS Benjamin;
Division 2;Poule de maintien;02/03/2024;20:30;Valence - Le Polygone;82021 - V.H.G. Valence / E0041 - Titans D2;M GRABIT Alexis;M THIERCY Damien;;;;M NORDMAN Leif;
Division 1;Saison régulière;02/03/2024;20:30;Caen La Mer;25001 - Caen Division 1 / 41002 - Division 1 Epinal;M HERRAULT Romain;M THIBOUVILLE Enguerrand;;M BOCQUET Didier;M BOURREAU Alexandre;M THORRIGNAC Lancelot;
Division 2;Poule de maintien;02/03/2024;21:00;Clermont-Ferrand;83001 - HCCA Les Sangliers Arvernes / 22001S - 22001S AMIENS 2;M POPA Adrian;M NEURAZ Steven;;;;M TOCQUEVILLE Florian;
Division 2;Série finale pour le titre;02/03/2024;21:00;Angers IceParc;52007 - ANGERS 2 / 82022 - VILLARD DE LANS;M BISPO Romain;M LOOS Mathieu;;;;M THIEBAULT Leevan;
U15;Zone Sud-est Saison régulière;03/03/2024;10:00;Pralognan - Patinoire olympique;E0073 - HC SAVOIE / 82028 - ANNECY;;;;;;;
U15;Zone Sud-est Saison régulière;03/03/2024;11:30;Grenoble - Polesud;82007 - GRENOBLE / E0003 - HC 74;;;;;;;
U20 Excellence;Zone ouest conférence B;03/03/2024;12:00;Brive - patinoire municipale;E0226 - BRIVE - BORDEAUX - FONT ROMEU / 74003 - ASPTT Limoges U20;;;M ANTUNES Laurent;;;;M RANDRIANARIVO Dominique
U17 Elite;Série finale pour le titre;03/03/2024;12:00;Clermont-Ferrand;E0123 - HCLR U17 / E0031 - MHC-ACBB U17 Elite;M POPA Adrian;M DERKAOUI Tristan;;;;M NEURAZ Steven;
U17 Elite;Série finale pour le titre;03/03/2024;12:10;Anglet - La Barre;72001 - ANGLET HORMADI U17 ELITE / 41002 - EPINAL;M MARTIN Kylian;M DAMONGEOT Batiste;;;;M HASPOT David;
U20 Excellence;Zone sud-est;03/03/2024;12:15;Vaujany - Patinoire du pôle sports et loisirs;E0194 - VAUJANY - GRENOBLE / E0201 - NICE TOULON;;;M BRONDEX Eric;;;;M HAGOPIAN Didier
U15;Zone Sud-est Saison régulière;03/03/2024;12:25;Nice - Jean Bouin;93008 - NICE / 82007 - GRENOBLE 2;;;;;;;
U17 Elite;Série finale pour le titre;03/03/2024;12:30;Strasbourg - Iceberg;E0032 - Entente Alsace U17 Elite / 72003 - Boxers de Bordeaux U17 Elite;M PEURIERE Frédéric;Mme TORRIBIO ROUSSELIN Sueva;;;;M BERGAMELLI Viny;
U20 Excellence;Zone Nord-est HDF;03/03/2024;13:00;Amiens - Le Coliseum;22001 - AMIENS / 23001 - ROUEN;;;M DUVILLE Guillaume;;;;M ROCHIER Philippe
U20 Elite;Saison régulière;03/03/2024;15:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 42003 - Strasbourg U20 élite;M FESSIER Samuel;M FAFRED Bastien;;;;M MESSIER Nicolas;
U17 Elite;Série finale pour le titre;03/03/2024;15:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 11025 - 11025 EVH91 U17 Elite;M DOUCHY Jérémie;M MAILLARD Hugo;;;;M PICARD Gabriel;
U20 Elite;Série finale;03/03/2024;16:45;Angers IceParc;52007 - ANGERS U20 ELITE / 72003 - Boxers de Bordeaux U20 Elite;M BISPO Romain;M BRAUD Tao;;;;M VILLARD Vincent;
U20 Elite;Série finale;03/03/2024;17:00;Amiens - Le Coliseum;22001 - HCAS U20 / 72001 - ANGLET HORMADI U20 ELITE;M GARDIOL Guillaume;M GARCIA LIMA Guido;;;;M FLEURY Louis;
U20 Excellence;Zone Nord-est IDF;03/03/2024;18:30;Paris Bercy - Sonja Henie;11007 - FRANCAIS VOLANTS / 11009 - COURBEVOIE;;;M LAPAQUE François;;;;Mme PERONNIN Laura
