"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
Matchs amicaux SLM senior;Matchs amicaux SLM;11/08/2023;20:45;Chamonix - Richard Bozon;82005S - CHAMONIX SLM / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M BARCELO Geoffrey;Mme CHEYROUX Alexia;;;M ICARD Damien;M BRIOLAT Eric;
Matchs amicaux U20;Matchs amicaux U20;12/08/2023;18:00;Cergy - Aren'Ice;11111 - EDF U20 / 11013S - LES JOKERS SLM;M FURET Yann;M SIMON Thomas;;;;M LABOULAIS Maxime;
Matchs amicaux SLM senior;Matchs amicaux SLM;15/08/2023;15:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 11013S - LES JOKERS SLM;M BOURREAU Alexandre;M LABOULAIS Maxime;;;M PEYRE Julien;M DOUCHY Jérémie;
Matchs amicaux SLM senior;Matchs amicaux SLM;16/08/2023;20:00;Chamonix - Richard Bozon;82005S - CHAMONIX SLM / 11111 - Martigny CH;M SCOLARI Benjamin;Mme CHEYROUX Alexia;;;M PEURIERE Frédéric;Mme BONIFACE Anne-Sophie;
Matchs amicaux U17;Matchs amicaux U17;18/08/2023;14:00;Saint-Gervais;E0003 - HC74 U17 Elite / 82007 - BRÛLEURS DE LOUPS U17 ELITE;M GRABIT Alexis;M BERGAMELLI Viny;;;;M BAUDRY Florian;
Matchs amicaux U17;Matchs amicaux U17;18/08/2023;16:30;Saint-Gervais;23001 - Rouen U17 / 82022 - 82022 LES OURS DE VILLARD DE LANS;M ROBERT Florian;M BERGAMELLI Enzo;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux SLM senior;Matchs amicaux SLM;18/08/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 93019S - MARSEILLE HOCKEY CLUB;M SCOLARI Benjamin;M GIELLY Guillaume;;;M ICARD Damien;M BRIOLAT Eric;
Matchs amicaux U17;Matchs amicaux U17;19/08/2023;14:00;Saint-Gervais;82007 - BRÛLEURS DE LOUPS U17 ELITE / 23001 - Rouen U17;M ICARD Damien;M BERGAMELLI Enzo;;;;M NEURAZ Steven;
Matchs amicaux U17;Matchs amicaux U17;19/08/2023;16:30;Saint-Gervais;E0003 - HC74 U17 Elite / 82022 - 82022 LES OURS DE VILLARD DE LANS;M GRABIT Alexis;M BERGAMELLI Viny;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux U17;Matchs amicaux U17;20/08/2023;09:00;Saint-Gervais;82007 - BRÛLEURS DE LOUPS U17 ELITE / 82022 - 82022 LES OURS DE VILLARD DE LANS;M GONCALVES Clément;M BERGAMELLI Enzo;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux U17;Matchs amicaux U17;20/08/2023;11:30;Saint-Gervais;E0003 - HC74 U17 Elite / 23001 - Rouen U17;M GERMANEAUD Bastien;M BERGAMELLI Viny;;;;M NEURAZ Steven;
Matchs amicaux SLM senior;Matchs amicaux SLM;22/08/2023;20:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 52007S - 52007S LES DUCS D'ANGERS;M FURET Yann;M LABOULAIS Maxime;;;M CREGUT Nicolas;M YSSEMBOURG Joffrey;
Matchs amicaux SLM senior;Matchs amicaux SLM;22/08/2023;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 93006S - RAPACES DE GAP;M SCOLARI Benjamin;M BRIOLAT Eric;;;M FROSSARD Philippe;Mme CHEYROUX Alexia;
Matchs amicaux SLM senior;Matchs amicaux SLM;22/08/2023;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 22001 - Amiens Hockey Elite amical;M ERNECQ Adrien;M SIMON Thomas;;;M BOURREAU Alexandre;M DOUCHY Jérémie;
Matchs amicaux U17;Matchs amicaux U17;23/08/2023;17:00;Le Palais Megève;E0003 - HC74 U17 Elite / 11111 - Genève;M GONCALVES Clément;M BAUDRY Florian;;;;M BERGAMELLI Enzo;
Matchs amicaux U20;Matchs amicaux U20;24/08/2023;16:00;Caen La Mer;25001 - Caen U20 Elite / 23001S - 23001S ROUEN HOCKEY ELITE 76;M SALMON Charles Edouard;M THIBOUVILLE Enguerrand;;;;M HONORE Romain;
Matchs amicaux U17;Matchs amicaux U17;24/08/2023;18:30;Cergy - Aren'Ice;11111 - EDF U17 / 11111 - EDF U16;M GASNIER Mickaël;Mme PERONNIN Laura;;;;M LE MONNIER Julien;
Matchs amicaux SLM senior;Matchs amicaux SLM;24/08/2023;20:00;Chamonix - Richard Bozon;82005S - CHAMONIX SLM / 11111 - SKIDMORE;M BARBEZ Nicolas;M GONCALVES Clément;;;M SCOLARI Benjamin;M MARGRY Gwilherm;
Matchs amicaux U20;Matchs amicaux U20;24/08/2023;20:00;Morzine - Skoda Arena;11111 - BÂLE / 11111 - WINTERTHUR U20;M ROBERT Florian;M BERGAMELLI Viny;;;;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux SLM senior;Matchs amicaux SLM;24/08/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 72003S - SASP BOXERS DE BORDEAUX;M ROHWEDDER Raphaël;M GIELLY Guillaume;;;M ICARD Damien;M UGOLINI Quentin;
Matchs amicaux U17;Matchs amicaux U17;25/08/2023;15:45;Caen La Mer;25001 - Caen U17 Elite / 23001 - Rouen U17;M DOUCHY Jérémie;M MAILLARD Hugo;;;;Mme BOURDON Gaëlle;
Matchs amicaux SLM senior;Matchs amicaux SLM;25/08/2023;19:00;Vaujany - Patinoire du pôle sports et loisirs;82005S - CHAMONIX SLM / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M FROSSARD Philippe;Mme CHEYROUX Alexia;;;M BARBEZ Nicolas;M GONCALVES Clément;
Matchs amicaux SLM senior;Matchs amicaux SLM;25/08/2023;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 11111 - SKIDMORE;M GEOFFROY Sébastien;M BRIOLAT Eric;;;M ICARD Damien;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux U20;Matchs amicaux U20;25/08/2023;20:00;Morzine - Skoda Arena;E0003 - HC74 U20 Elite / 11111 - WINTERTHUR U20;M GRABIT Alexis;M BERGAMELLI Enzo;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux SLM senior;Matchs amicaux SLM;25/08/2023;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 52007S - 52007S LES DUCS D'ANGERS;M BLIEK Damien;M COLLIN Jérémie;;;M DEHAEN Pierre;M DEBUCHE Cyril;
Matchs amicaux U20;Matchs amicaux U20;26/08/2023;11:05;Angers IceParc;52007 - ANGERS U20 ELITE / 23001S - 23001S ROUEN HOCKEY ELITE 76;M HERRAULT Romain;M THIEBAULT Leevan;;;;M MAUDET Timothée;
Matchs amicaux U17;Matchs amicaux U17;26/08/2023;12:15;Patinoire André RAVIX;82022 - 82022 LES OURS DE VILLARD DE LANS / 82015 - HCLR U17 ELITE;M GERMANEAUD Bastien;M HALLADJ Farid;;;;M EDERY Frédéric;
Matchs amicaux U17;Matchs amicaux U17;26/08/2023;13:30;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 52007 - ANGERS U17 ELITE;M LE BERRE Frédéric;M PERONNIN Théo;;;;M LE MONNIER Julien;
Matchs amicaux D2;Matchs amicaux D2;26/08/2023;16:45;Gap - Alp'Arena;93006 - RAPACES DE GAP U20 / 82021 - V.H.G. Valence;M ROMMEVAUX Mikaël;M DONAT-MAGNIN Alexandre;;;;M FONTAINE Gildas;
Matchs amicaux SLM senior;Matchs amicaux SLM;26/08/2023;17:00;La Garde - patinoire intercommunale;93019S - MARSEILLE HOCKEY CLUB / 93008S - NICE SLM;M SCOLARI Benjamin;M AUMERAS Benjamin;;;M ROHWEDDER Raphaël;M UGOLINI Quentin;
Matchs amicaux U20;Matchs amicaux U20;26/08/2023;18:10;Anglet - La Barre;72001 - ANGLET HORMADI U20 ELITE / 72003 - Boxers de Bordeaux U20 Elite;M GARBAY Laurent;M DESSOLAIN Franck;;;;M BRAUD Tao;
Matchs amicaux U17;Matchs amicaux U17;26/08/2023;18:30;Cergy - Aren'Ice;11111 - EDF U17 / 11111 - EDF U16;M PERONNIN Stéphane;M BAUDOIN Charles;;;;M BERNOUSSI Rayan;
Matchs amicaux SLM senior;Matchs amicaux SLM;26/08/2023;19:00;Vaujany - Patinoire du pôle sports et loisirs;72003S - SASP BOXERS DE BORDEAUX / 82005S - CHAMONIX SLM;M FROSSARD Philippe;M MARGRY Gwilherm;;;M ERNECQ Adrien;M BAUDRY Florian;
Matchs amicaux SLM senior;Matchs amicaux SLM;26/08/2023;19:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 23001S - 23001S ROUEN HOCKEY ELITE 76;M GEOFFROY Sébastien;Mme CHEYROUX Alexia;;;M RAULINE Jérémy;M GONCALVES Clément;
Matchs amicaux U20;Matchs amicaux U20;26/08/2023;20:00;Morzine - Skoda Arena;11111 - BÂLE / E0003 - HC74 U20 Elite;M ROBERT Florian;M BERGAMELLI Enzo;;;;M NEURAZ Steven;
Matchs amicaux SLM senior;Matchs amicaux SLM;26/08/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 11111 - SKIDMORE;M BARCELO Geoffrey;M BRIOLAT Eric;;;M ICARD Damien;M GIELLY Guillaume;
Matchs amicaux U20;Matchs amicaux U20;27/08/2023;09:00;Morzine - Skoda Arena;11111 - BÂLE / 11111 - AJOIE;M ROBERT Florian;M BERGAMELLI Enzo;;;;M NEURAZ Steven;
Matchs amicaux U17;Matchs amicaux U17;27/08/2023;10:45;Cergy - Aren'Ice;11111 - EDF U17 / 11111 - EDF U17;M METAIS Jérémy;M CADY Quentin;;;;M BAUDOIN Charles;
Matchs amicaux U17;Matchs amicaux U17;27/08/2023;11:05;Angers IceParc;52007 - ANGERS U17 ELITE / 23001 - Rouen U17;M TELLIEZ Pascal;M FAUVEL Johan;;;;M TOCQUEVILLE Florian;
Matchs amicaux U20;Matchs amicaux U20;27/08/2023;12:30;Morzine - Skoda Arena;E0003 - HC74 U20 Elite / 11111 - WINTERTHUR U20;M GERMANEAUD Bastien;M BERGAMELLI Viny;;;;M BAUDRY Florian;
Matchs amicaux U20;Matchs amicaux U20;27/08/2023;14:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 25001 - Caen U20 Elite;M GASNIER Mickaël;M GERMOND Matteo;;;;Mme BOURDON Gaëlle;
Matchs amicaux U20;Matchs amicaux U20;27/08/2023;15:15;Cergy - Aren'Ice;11013 - CERGY-PONTOISE / 22001S - 22001 AMIENS U20 ELITE;M GARDIOL Guillaume;Mme PERONNIN Laura;;;;M BONNEFOY Arthur;
Matchs amicaux SLM senior;Matchs amicaux SLM;27/08/2023;17:00;Vaujany - Patinoire du pôle sports et loisirs;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 72003S - SASP BOXERS DE BORDEAUX;M RAULINE Jérémy;M UGOLINI Quentin;;;M ERNECQ Adrien;M MARGRY Gwilherm;
Matchs amicaux U17;Matchs amicaux U17;27/08/2023;17:30;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U17 Elite / 72001 - ANGLET HORMADI U17 ELITE;M GARBAY Laurent;M DESSOLAIN Franck;;;;M BRAUD Tao;
Matchs amicaux SLM senior;Matchs amicaux SLM;27/08/2023;18:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 72001S - ANGLET HORMADI Ligue MAGNUS;M FROSSARD Philippe;M BRIOLAT Eric;;;M SCOLARI Benjamin;M GIELLY Guillaume;
Matchs amicaux U17;Matchs amicaux U17;29/08/2023;16:00;Caen La Mer;25001 - Caen U17 Elite / 22001 - HCAS U 17;M SALMON Charles Edouard;M GISSLER Louis;;;;M DOUCHY Jérémie;
Matchs amicaux SLM senior;Matchs amicaux SLM;29/08/2023;21:00;La Garde - patinoire intercommunale;93019S - MARSEILLE HOCKEY CLUB / 11111 - 3 RIVIERES CAN;M PEURIERE Frédéric;M CONSTANTINEAU Nicolas;;;M BARBEZ Nicolas;M BRIOLAT Eric;
Matchs amicaux U17;Matchs amicaux U17;30/08/2023;14:45;Caen La Mer;25001 - Caen U17 Elite / 22001 - HCAS U 17;M DOUCHY Jérémie;M GISSLER Louis;;;;M SALMON Charles Edouard;
Matchs amicaux U17;Matchs amicaux U17;30/08/2023;19:00;Lyon Baraban;82015 - HCLR U17 ELITE / 82022 - 82022 LES OURS DE VILLARD DE LANS;M GEORGE Yohan;M BAUDRY Florian;;;;M FONTAINE Gildas;
Matchs amicaux D2;Matchs amicaux D2;30/08/2023;20:30;Patinoire André RAVIX;82022 - VILLARD DE LANS / E0122 - VAUJANY-GRENOBLE;M BARCELO Joris;M DONAT-MAGNIN Alexandre;;;;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux SLM senior;Matchs amicaux SLM;30/08/2023;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 22001 - Amiens Hockey Elite amical;M CREGUT Nicolas;M SIMON Thomas;;;M DEHAEN Pierre;M DEBUCHE Cyril;
Matchs amicaux SLM senior;Matchs amicaux SLM;31/08/2023;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 11111 - 3 RIVIERES CAN;M BARCELO Geoffrey;M UGOLINI Quentin;;;M PEURIERE Frédéric;M CONSTANTINEAU Nicolas;
Matchs amicaux U20;Matchs amicaux U20;01/09/2023;16:00;Caen La Mer;25001 - Caen U20 Elite / 52007 - ANGERS U20 ELITE;M SALMON Charles Edouard;M GISSLER Louis;;;;M DOUCHY Jérémie;
Matchs amicaux SLM senior;Matchs amicaux SLM;01/09/2023;19:00;Anglet - La Barre;72001S - ANGLET HORMADI Ligue MAGNUS / 72003S - SASP BOXERS DE BORDEAUX;M GARBAY Laurent;M BARTHE Guillaume;;;M ROHWEDDER Raphaël;M FAUVEL Johan;
Matchs amicaux D1;Matchs amicaux D1;01/09/2023;19:30;Dunkerque - Michel Raffoux;31002 - DUNKERQUE DIVISION 1 / 31004 - D2 Valenciennes;M PEYRE Julien;M DEBUCHE Cyril;;;;M MESSIER Nicolas;
Matchs amicaux SLM senior;Matchs amicaux SLM;01/09/2023;20:00;Nice - Jean Bouin;93008S - NICE SLM / 93019S - MARSEILLE HOCKEY CLUB;M RAULINE Jérémy;M BRIOLAT Eric;;;;M CONSTANTINEAU Nicolas;
Matchs amicaux SLM senior;Matchs amicaux SLM;01/09/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 11111 - 3 RIVIERES CAN;M BOURREAU Alexandre;M MARGRY Gwilherm;;;M ERNECQ Adrien;Mme CHEYROUX Alexia;
Matchs amicaux D2;Matchs amicaux D2;01/09/2023;20:30;Patinoire André RAVIX;82022 - VILLARD DE LANS / 82015 - LYON DIVISION 2;;M HALLADJ Farid;;;;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux U20;Matchs amicaux U20;02/09/2023;11:05;Angers IceParc;52007 - ANGERS U20 ELITE / 11013 - CERGY-PONTOISE;M DOUCHY Jérémie;M MARCHAND Antoine;;;;M HATTON Thomas;
Matchs amicaux SLM senior;Matchs amicaux SLM;02/09/2023;17:00;Nice - Jean Bouin;93019S - MARSEILLE HOCKEY CLUB / 11111 - Spisska nova ves;M RAULINE Jérémy;M BRIOLAT Eric;;;M SCOLARI Benjamin;M MARGRY Gwilherm;
Matchs amicaux SLM senior;Matchs amicaux SLM;02/09/2023;18:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / 11013S - LES JOKERS SLM;M HAUCHART Alexandre;M SIMON Thomas;;;;M DEBUCHE Cyril;
Matchs amicaux D3;Matchs amicaux D3;02/09/2023;18:30;Chalons-en-Champagne - Cité glace;21002 - Hockey club Châlonnais / 41004 - Division 2 Amneville;;;M BECRET Félicien;;;;M DUVILLE Guillaume
Matchs amicaux SLM senior;Matchs amicaux SLM;02/09/2023;19:30;Bordeaux - Mériadeck;72003S - SASP BOXERS DE BORDEAUX / 72001S - ANGLET HORMADI Ligue MAGNUS;M GARBAY Laurent;M FAUVEL Johan;;;M ROHWEDDER Raphaël;M BARTHE Guillaume;
Matchs amicaux D3;Matchs amicaux D3;02/09/2023;20:00;Mulhouse - Illberg;42002 - MULHOUSE / 42001 - Titans D2;;;M MONCOZET Christophe;;;;M BERGERON Nicolas
Matchs amicaux U17;Matchs amicaux U17;02/09/2023;20:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 22001 - HCAS U 17;;;M MALTAVERNE Christian;;;;M HERBER Philippe
Matchs amicaux SLM senior;Matchs amicaux SLM;02/09/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M BARBEZ Nicolas;Mme CHEYROUX Alexia;;;M PEYRE Julien;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux U17;Matchs amicaux U17;03/09/2023;11:05;Angers IceParc;52007 - ANGERS U17 ELITE / 25001 - Caen U17 Elite;M DOUCHY Jérémie;M MARCHAND Antoine;;;;M HATTON Thomas;
Matchs amicaux U17;Matchs amicaux U17;03/09/2023;14:15;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 23001 - Rouen U17;M AURAT Florian;M BERNOUSSI Rayan;;;;M MESSIER Nicolas;
Matchs amicaux U20;Matchs amicaux U20;03/09/2023;14:30;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 22001S - 22001 AMIENS U20 ELITE;M GASNIER Mickaël;M MAILLARD Hugo;;;;M GERMOND Matteo;
Matchs amicaux SLM senior;Matchs amicaux SLM;03/09/2023;16:00;Nice - Jean Bouin;93008S - NICE SLM / 11111 - Spisska nova ves;M RAULINE Jérémy;M BRIOLAT Eric;;;M SCOLARI Benjamin;M MARGRY Gwilherm;
Matchs amicaux D1;Matchs amicaux D1;03/09/2023;19:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / 31004 - D2 Valenciennes;M LEVASSEUR Sébastien;M BAUDOIN Charles;;;;M CADY Quentin;
Matchs amicaux U20;Matchs amicaux U20;03/09/2023;20:00;Mulhouse - Illberg;E0118 - Entente Alsace Mulhouse Colmar U20 Elite / 41002 - U20 Elite Epinal;M GEOFFROY Sébastien;Mme TORRIBIO ROUSSELIN Sueva;;;;M KOEGLER Jérémy;
Matchs amicaux SLM senior;Matchs amicaux SLM;04/09/2023;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 11013S - LES JOKERS SLM;M DEHAEN Pierre;M FAUVEL Johan;;;M ERNECQ Adrien;M THIEBAULT Leevan;
Matchs amicaux D1;Matchs amicaux D1;05/09/2023;19:40;Valenciennes - Valigloo;31004 - D2 Valenciennes / 11019 - Comètes de Meudon D1;M FESSIER Samuel;M DEBUCHE Cyril;;;;M DELSARTE Alban;
Matchs amicaux SLM senior;Matchs amicaux SLM;05/09/2023;20:00;Chamonix - Richard Bozon;82005S - CHAMONIX SLM / 11111 - SIERRE;M ICARD Damien;M ZEDE Vincent;;;M BARBEZ Nicolas;M MARGRY Gwilherm;
Matchs amicaux D1;Matchs amicaux D1;08/09/2023;16:45;Épinal - Poissompré;11015 - NEUILLY SUR MARNE DIVISION 1 / 42003S - 42003  ETOILE  NOIRE;M GEOFFROY Sébastien;M KIRSCHENBAUM Johan;;;;M COLLIN Jérémie;
Matchs amicaux D1;Matchs amicaux D1;08/09/2023;19:15;Le Palais Megève;E0066 - Mont-Blanc les Yetis / 82018 - ROANNE D2;M PEURIERE Frédéric;M BAUDRY Florian;;;;Mme BONIFACE Anne-Sophie;
Matchs amicaux D1;Matchs amicaux D1;08/09/2023;20:00;Cholet - Glisséo;52002 - DOGS DE CHOLET / 25001 - Caen Division 1;M HERRAULT Romain;M THIEBAULT Leevan;;;;M TRONET Pierre;
Matchs amicaux D1;Matchs amicaux D1;08/09/2023;20:15;Épinal - Poissompré;41002 - Division 1 Epinal / 31002 - DUNKERQUE DIVISION 1;M TURBERT Cédric;Mme TORRIBIO ROUSSELIN Sueva;;;;M TCHEKACHEV David;
U17 Elite;Saison régulière;09/09/2023;14:05;Grenoble - Polesud;82007 - BRÛLEURS DE LOUPS U17 ELITE / E0003 - HC74 U17 Elite;M ROMMEVAUX Mikaël;M NEURAZ Steven;;;;M BERGAMELLI Viny;
Matchs amicaux D1;Matchs amicaux D1;09/09/2023;16:15;Épinal - Poissompré;31002 - DUNKERQUE DIVISION 1 / 42003S - 42003  ETOILE  NOIRE;M METAIS Jérémy;M TCHEKACHEV David;;;;Mme TORRIBIO ROUSSELIN Sueva;
U17 Elite;Saison régulière;09/09/2023;17:30;Gap - Alp'Arena;93006 - RAPACES DE GAP U17 / E0032 - Entente Alsace U17 Elite;M GERMANEAUD Bastien;M AUMERAS Benjamin;;;;M BIOT Thiefen;
U17 Elite;Saison régulière;09/09/2023;17:35;Patinoire André RAVIX;82022 - 82022 LES OURS DE VILLARD DE LANS / 72001 - ANGLET HORMADI U17 ELITE;M ROBERT Florian;M BAUDRY Florian;;;;M BERGAMELLI Enzo;
U17 Elite;Saison régulière;09/09/2023;17:50;Meudon-la-Forêt - Patinoire municipale;E0031 - MHC-ACBB U17 Elite / 11015 - NEUILLY SUR MARNE;;;M ROCHIER Philippe;;;;M KOUROUMA Sakoba
Matchs amicaux D2;Matchs amicaux D2;09/09/2023;18:00;Clermont-Ferrand;83001 - HCCA Les Sangliers Arvernes / 73002 - TOULOUSE BLAGNAC;M GRABIT Alexis;M RIVOIRE Tifaine;;;;M DESSOLAIN Franck;
Matchs amicaux D1;Matchs amicaux D1;09/09/2023;18:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / 53001 - Brest Division 1;M HERRAULT Romain;M THIEBAULT Leevan;;;;M TRONET Pierre;
Matchs amicaux D3;Matchs amicaux D3;09/09/2023;18:00;Metz - Ice Arena;41008 - 41008 METZ HOCKEY CLUB / 21002 - Hockey club Châlonnais;;;M MONCOZET Christophe;;;;M GIRARD Steeve
Matchs amicaux D3;Matchs amicaux D3;09/09/2023;18:40;Wasquehal - Serge Charles;31003 - WASQUEHAL / 22002 - HCC Compiègne D3;;;M DUVILLE Guillaume;;;;M BAUERLE Damien
U20 Elite;Saison régulière;09/09/2023;18:50;Montpellier - Vegapolis;E0078 - Occitanie Elite U20 / 41002 - U20 Elite Epinal;M TELLIEZ Pascal;M NORDMAN Leif;;;;M THIERCY Damien;
Matchs amicaux D2;Matchs amicaux D2;09/09/2023;18:50;Paris Bercy - Sonja Henie;11007 - D2 Français Volants / 11030 - Champigny HC;M BISPO Romain;Mme PERONNIN Laura;;;;M GISSLER Louis;
U17 Elite;Saison régulière;09/09/2023;19:15;Rouen - Île Lacroix;23001 - Rouen U17 / 52007 - ANGERS U17 ELITE;M LE BERRE Frédéric;M GERMOND Matteo;;;;M BAUDOIN Charles;
Matchs amicaux D3;Matchs amicaux D3;09/09/2023;19:15;Poitiers - patinoire municipale;54002 - Stade Poitevin HC Divison 3 / 24004 - Orléans Division 3;;;M HATTON Thomas;;;;M GARCIA LIMA Guido
Matchs amicaux D1;Matchs amicaux D1;09/09/2023;19:30;Roanne - Fontalon;82018 - ROANNE D2 / 82017 - HCMA D1;M PEURIERE Frédéric;M CADY Quentin;;;;M ZEDE Vincent;
Matchs amicaux D2;Matchs amicaux D2;09/09/2023;19:30;Lyon - Charlemagne;82015 - LYON DIVISION 2 / E0122 - VAUJANY-GRENOBLE;M GEORGE Yohan;M CATARINO Jean;;;;M HALLADJ Farid;
Matchs amicaux D1;Matchs amicaux D1;09/09/2023;19:45;Épinal - Poissompré;41002 - Division 1 Epinal / 11015 - NEUILLY SUR MARNE DIVISION 1;M GEOFFROY Sébastien;M KIRSCHENBAUM Johan;;;;M KOEGLER Jérémy;
Matchs amicaux D1;Matchs amicaux D1;09/09/2023;20:00;Valenciennes - Valigloo;31004 - D2 Valenciennes / 21005 - REIMS;M TURBERT Cédric;M MESSIER Nicolas;;;;M SMEECKAERT Aurélien;
Synerglace Ligue Magnus;Saison régulière;09/09/2023;20:00;Palais Omnisports Marseille Grand-Est (POMGE);93019S - MARSEILLE HOCKEY CLUB / 93006S - RAPACES DE GAP;M BARBEZ Nicolas;M CONSTANTINEAU Nicolas;;;M BOURREAU Alexandre;M BRIOLAT Eric;
Synerglace Ligue Magnus;Saison régulière;09/09/2023;20:00;Nice - Jean Bouin;93008S - NICE SLM / 22001S - AMIENS HOCKEY ELITE;M GARBAY Laurent;M CREUX-BEAUGIRAUD Yohann;;;M RAULINE Jérémy;M UGOLINI Quentin;
Synerglace Ligue Magnus;Saison régulière;09/09/2023;20:05;Chamonix - Richard Bozon;E0082 - CHAMONIX SLM / 52007S - 52007S LES DUCS D'ANGERS;M SCOLARI Benjamin;M GONCALVES Clément;;M AVAVIAN Julien;M DEHAEN Pierre;Mme CHEYROUX Alexia;
Synerglace Ligue Magnus;Saison régulière;09/09/2023;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M PEYRE Julien;M DEBUCHE Cyril;;;M BLIEK Damien;M LABOULAIS Maxime;
Synerglace Ligue Magnus;Saison régulière;09/09/2023;20:30;Anglet - La Barre;72001S - ANGLET HORMADI Ligue MAGNUS / 93003S - Diables Rouges Briançon 93003;M LEVASSEUR Sébastien;M BARTHE Guillaume;;;M FURET Yann;M FAUVEL Johan;
Matchs amicaux D2;Matchs amicaux D2;09/09/2023;20:30;Patinoire André RAVIX;82022 - VILLARD DE LANS / 91003 - Vipers D2;M POPA Adrian;M BAUDRY Florian;;;;M FONTAINE Gildas;
Matchs amicaux D1;Matchs amicaux D1;09/09/2023;20:30;Caen La Mer;25001 - Caen Division 1 / 52002 - DOGS DE CHOLET;M GASNIER Mickaël;M HONORE Romain;;;;M THIBOUVILLE Enguerrand;
U20 Elite;Saison régulière;10/09/2023;12:05;Montpellier - Vegapolis;E0078 - Occitanie Elite U20 / 41002 - U20 Elite Epinal;M POPA Adrian;M NORDMAN Leif;;;;M THIERCY Damien;
Matchs amicaux U20;Matchs amicaux U20;10/09/2023;12:30;Paris Bercy - Sonja Henie;11007 - FRANCAIS VOLANTS / E0031 - MHC-ACBB U20 Excellence;;;M MALTAVERNE Christian;;;;M DEHONT Anthony
Matchs amicaux D1;Matchs amicaux D1;10/09/2023;13:00;Épinal - Poissompré;11015 - NEUILLY SUR MARNE DIVISION 1 / 31002 - DUNKERQUE DIVISION 1;M GEOFFROY Sébastien;Mme TORRIBIO ROUSSELIN Sueva;;;;M COLLIN Jérémie;
U15;IdF-HdF-Ndie Saison régulière;10/09/2023;15:30;Cergy - Aren'Ice;82024 - POLE FRANCE / 23001 - ROUEN;M LAPAQUE François;M PITROU Thomas;;;;M SIMON Thomas;
Matchs amicaux D1;Matchs amicaux D1;10/09/2023;16:30;Épinal - Poissompré;41002 - Division 1 Epinal / 42003S - 42003  ETOILE  NOIRE;M METAIS Jérémy;M KIRSCHENBAUM Johan;;;;M TCHEKACHEV David;
U20 Elite;Saison régulière;10/09/2023;17:45;Gap - Alp'Arena;93006S - GAP / 22001 - HCAS U20;M GONCALVES Clément;M AUMERAS Benjamin;;;;M BIOT Thiefen;
U20 Elite;Saison régulière;10/09/2023;18:30;Anglet - La Barre;72001 - ANGLET HORMADI U20 ELITE / 82022 - 82022 LES OURS DE VILLARD DE LANS U20;M GARBAY Laurent;M DESSOLAIN Franck;;;;M PRAGOUT Maxime;
